peso,cat,requerimiento_energetico,ap
175.0,vaquillonas,3.9,1.4
187.5,vaquillonas,4.0,0.2
187.5,vaquillonas,4.0,0.4
187.5,vaquillonas,4.0,0.6
187.5,vaquillonas,4.0,0.8
187.5,vaquillonas,4.0,1.0
187.5,vaquillonas,4.0,1.2
187.5,vaquillonas,4.0,1.4
200.0,vaquillonas,4.1,0.2
200.0,vaquillonas,4.1,0.4
200.0,vaquillonas,4.1,0.6
200.0,vaquillonas,4.1,0.8
200.0,vaquillonas,4.1,1.0
200.0,vaquillonas,4.1,1.2
200.0,vaquillonas,4.1,1.4
212.5,vaquillonas,4.3,0.2
212.5,vaquillonas,4.3,0.4
212.5,vaquillonas,4.3,0.6
212.5,vaquillonas,4.3,0.8
212.5,vaquillonas,4.3,1.0
212.5,vaquillonas,4.3,1.2
212.5,vaquillonas,4.3,1.4
225.0,vaquillonas,4.5,0.2
225.0,vaquillonas,4.5,0.4
225.0,vaquillonas,4.5,0.6
225.0,vaquillonas,4.5,0.8
225.0,vaquillonas,4.5,1.0
225.0,vaquillonas,4.5,1.2
225.0,vaquillonas,4.5,1.4
237.5,vaquillonas,4.7,0.2
237.5,vaquillonas,4.7,0.4
237.5,vaquillonas,4.7,0.6
237.5,vaquillonas,4.7,0.8
237.5,vaquillonas,4.7,1.0
237.5,vaquillonas,4.7,1.2
237.5,vaquillonas,4.7,1.4
250.0,vaquillonas,4.8,0.2
250.0,vaquillonas,4.8,0.4
250.0,vaquillonas,4.8,0.6
250.0,vaquillonas,4.8,0.8
250.0,vaquillonas,4.8,1.0
250.0,vaquillonas,4.8,1.2
250.0,vaquillonas,4.8,1.4
262.5,vaquillonas,5.0,0.2
262.5,vaquillonas,5.0,0.4
262.5,vaquillonas,5.0,0.6
262.5,vaquillonas,5.0,0.8
262.5,vaquillonas,5.0,1.0
262.5,vaquillonas,5.0,1.2
262.5,vaquillonas,5.0,1.4
275.0,vaquillonas,5.2,0.2
275.0,vaquillonas,5.2,0.4
275.0,vaquillonas,5.2,0.6
275.0,vaquillonas,5.2,0.8
275.0,vaquillonas,5.2,1.0
275.0,vaquillonas,5.2,1.2
275.0,vaquillonas,5.2,1.4
287.5,vaquillonas,5.4,0.2
287.5,vaquillonas,5.4,0.4
287.5,vaquillonas,5.4,0.6
287.5,vaquillonas,5.4,0.8
287.5,vaquillonas,5.4,1.0
287.5,vaquillonas,5.4,1.2
287.5,vaquillonas,5.4,1.4
300.0,vaquillonas,5.6,0.2
300.0,vaquillonas,5.6,0.4
300.0,vaquillonas,5.6,0.6
300.0,vaquillonas,5.6,0.8
300.0,vaquillonas,5.6,1.0
300.0,vaquillonas,5.6,1.2
300.0,vaquillonas,5.6,1.4
312.5,vaquillonas,5.7,0.2
312.5,vaquillonas,5.7,0.4
312.5,vaquillonas,5.7,0.6
312.5,vaquillonas,5.7,0.8
312.5,vaquillonas,5.7,1.0
312.5,vaquillonas,5.7,1.2
312.5,vaquillonas,5.7,1.4
325.0,vaquillonas,5.9,0.2
325.0,vaquillonas,5.9,0.4
325.0,vaquillonas,5.9,0.6
325.0,vaquillonas,5.9,0.8
325.0,vaquillonas,5.9,1.0
325.0,vaquillonas,5.9,1.2
325.0,vaquillonas,5.9,1.4
337.5,vaquillonas,6.1,0.2
337.5,vaquillonas,6.1,0.4
337.5,vaquillonas,6.1,0.6
337.5,vaquillonas,6.1,0.8
337.5,vaquillonas,6.1,1.0
337.5,vaquillonas,6.1,1.2
337.5,vaquillonas,6.1,1.4
350.0,vaquillonas,6.2,0.2
350.0,vaquillonas,6.2,0.4
350.0,vaquillonas,6.2,0.6
350.0,vaquillonas,6.2,0.8
350.0,vaquillonas,6.2,1.0
350.0,vaquillonas,6.2,1.2
350.0,vaquillonas,6.2,1.4
362.5,vaquillonas,6.4,0.2
362.5,vaquillonas,6.4,0.4
362.5,vaquillonas,6.4,0.6
362.5,vaquillonas,6.4,0.8
362.5,vaquillonas,6.4,1.0
362.5,vaquillonas,6.4,1.2
362.5,vaquillonas,6.4,1.4
375.0,vaquillonas,6.6,0.2
375.0,vaquillonas,6.6,0.4
375.0,vaquillonas,6.6,0.6
375.0,vaquillonas,6.6,0.8
375.0,vaquillonas,6.6,1.0
375.0,vaquillonas,6.6,1.2
375.0,vaquillonas,6.6,1.4
387.5,vaquillonas,6.7,0.2
387.5,vaquillonas,6.7,0.4
387.5,vaquillonas,6.7,0.6
387.5,vaquillonas,6.7,0.8
387.5,vaquillonas,6.7,1.0
387.5,vaquillonas,6.7,1.2
387.5,vaquillonas,6.7,1.4
400.0,vaquillonas,6.9,0.2
400.0,vaquillonas,6.9,0.4
400.0,vaquillonas,6.9,0.6
400.0,vaquillonas,6.9,0.8
400.0,vaquillonas,6.9,1.0
400.0,vaquillonas,6.9,1.2
400.0,vaquillonas,6.9,1.4
412.5,vaquillonas,7.0,0.2
412.5,vaquillonas,7.0,0.4
412.5,vaquillonas,7.0,0.6
412.5,vaquillonas,7.0,0.8
412.5,vaquillonas,7.0,1.0
412.5,vaquillonas,7.0,1.2
